+1 1:0.000000 2:0.000000 3:0.299665 4:0.193992 5:0.447078 6:0.333962 7:0.129095 8:0.135138 9:1.538721 
+1 1:0.074818 2:0.141467 3:0.335341 4:0.470353 5:0.214415 6:0.298975 7:0.000000 8:0.000000 9:1.555252 
+1 1:0.000000 2:0.000000 3:0.298080 4:0.217086 5:0.464567 6:0.336348 7:0.144463 8:0.075613 9:1.562730 
+1 1:0.040286 2:0.114262 3:0.481514 4:0.467570 5:0.192424 6:0.201233 7:0.038894 8:0.000000 9:1.464815 
+1 1:0.000000 2:0.038087 3:0.200631 4:0.194821 5:0.500302 6:0.442713 7:0.116682 8:0.040715 9:1.449542 
+1 1:0.069829 2:0.099028 3:0.382536 4:0.405228 5:0.200120 6:0.313924 7:0.067416 8:0.000000 9:1.442490 
+1 1:0.000000 2:0.049513 3:0.286902 4:0.202613 5:0.400242 6:0.287763 7:0.126405 8:0.185253 9:1.477040 
+1 1:0.104745 2:0.066018 3:0.312984 4:0.506534 5:0.266828 6:0.244164 7:0.033708 8:0.000000 9:1.479923 
+1 1:0.000000 2:0.033009 3:0.243433 4:0.270152 5:0.500302 6:0.313924 7:0.067416 8:0.105859 9:1.493600 
+1 1:0.174575 2:0.110030 3:0.318781 4:0.534675 5:0.305741 6:0.087202 7:0.000000 8:0.000000 9:1.474996 
+1 1:0.000000 2:0.055015 3:0.115920 4:0.225126 5:0.555891 6:0.319738 7:0.056180 8:0.205836 9:1.473384 
+1 1:0.000000 2:0.222811 3:0.391230 4:0.379901 5:0.225136 6:0.313924 7:0.000000 8:0.000000 9:1.521771 
+1 1:0.000000 2:0.000000 3:0.343519 4:0.222380 5:0.366074 6:0.382834 7:0.221980 8:0.000000 9:1.517508 
+1 1:0.095222 2:0.180049 3:0.379375 4:0.460485 5:0.090964 6:0.285385 7:0.045966 8:0.000000 9:1.464476 
+1 1:0.000000 2:0.045012 3:0.284531 4:0.092097 5:0.454820 6:0.380514 7:0.183863 8:0.096235 9:1.462763 
+1 1:0.038321 2:0.144918 3:0.458026 4:0.407699 5:0.256253 6:0.191417 7:0.036996 8:0.000000 9:1.461716 
+1 1:0.000000 2:0.036229 3:0.190844 4:0.259445 5:0.402683 6:0.459401 7:0.110991 8:0.077457 9:1.455076 
+1 1:0.000000 2:0.000000 3:0.391230 4:0.448974 5:0.204670 6:0.321058 7:0.034474 8:0.144352 9:1.410287 
+1 1:0.146155 2:0.034545 3:0.327541 4:0.212038 5:0.453763 6:0.365028 7:0.000000 8:0.000000 9:1.415482 
+1 1:0.000000 2:0.000000 3:0.381688 4:0.407699 5:0.183037 6:0.306267 7:0.147987 8:0.116186 9:1.343520 
+1 1:0.114964 2:0.144918 3:0.305351 4:0.185317 5:0.402683 6:0.382834 7:0.000000 8:0.000000 9:1.324236 
+1 1:0.000000 2:0.103633 3:0.400329 4:0.424076 5:0.209429 6:0.255520 7:0.070553 8:0.073855 9:1.381770 
+1 1:0.073078 2:0.069089 3:0.327541 4:0.212038 5:0.383953 6:0.401531 7:0.070553 8:0.000000 9:1.388417 
+1 1:0.000000 2:0.000000 3:0.400329 4:0.494754 5:0.174524 6:0.292023 7:0.070553 8:0.110781 9:1.421992 
+1 1:0.168340 2:0.159151 3:0.279450 4:0.217086 5:0.402029 6:0.308319 7:0.000000 8:0.000000 9:1.417513 
+1 1:0.000000 2:0.000000 3:0.347760 4:0.438996 5:0.333535 6:0.313924 7:0.000000 8:0.105859 9:1.430352 
+1 1:0.104745 2:0.000000 3:0.312984 4:0.337689 5:0.466949 6:0.313924 7:0.000000 8:0.000000 9:1.402123 
+1 1:0.000000 2:0.082523 3:0.318781 4:0.506534 5:0.222356 6:0.261604 7:0.056180 8:0.088216 9:1.464122 
+1 1:0.087288 2:0.055015 3:0.289800 4:0.225126 5:0.472508 6:0.319738 7:0.084271 8:0.000000 9:1.445893 
+1 1:0.000000 2:0.000000 3:0.422951 4:0.451773 5:0.121695 6:0.296955 7:0.163985 8:0.085831 9:1.407983 
+1 1:0.087288 2:0.165045 3:0.347760 4:0.084423 5:0.458611 6:0.392405 7:0.000000 8:0.000000 9:1.419254 
+1 1:0.046211 2:0.000000 3:0.414244 4:0.491636 5:0.088289 6:0.323157 7:0.089228 8:0.093405 9:1.404825 
+1 1:0.092423 2:0.087378 3:0.322189 4:0.089389 5:0.485587 6:0.415488 7:0.000000 8:0.046703 9:1.381611 
+1 1:0.000000 2:0.087378 3:0.460272 4:0.446942 5:0.132433 6:0.369322 7:0.000000 8:0.046703 9:1.340124 
+1 1:0.046211 2:0.000000 3:0.368217 4:0.134082 5:0.441444 6:0.461654 7:0.089228 8:0.000000 9:1.324236 
+1 1:0.084928 2:0.000000 3:0.422951 4:0.410703 5:0.162260 6:0.339377 7:0.122989 8:0.000000 9:1.317155 
+1 1:0.000000 2:0.117269 3:0.370639 4:0.159958 5:0.394976 6:0.413058 7:0.000000 8:0.083573 9:1.322242 
+1 1:0.168340 2:0.000000 3:0.279450 4:0.596987 5:0.053603 6:0.336348 7:0.108348 8:0.000000 9:1.273595 
+1 1:0.000000 2:0.106101 3:0.335341 4:0.054271 5:0.589642 6:0.280289 7:0.000000 8:0.170130 9:1.274607 
+1 1:0.050683 2:0.000000 3:0.504814 4:0.490195 5:0.096833 6:0.354430 7:0.048931 8:0.000000 9:1.301217 
+1 1:0.000000 2:0.046419 3:0.391230 4:0.094975 5:0.469034 6:0.490506 7:0.000000 8:0.049621 9:1.309258 
+1 1:0.138632 2:0.000000 3:0.368217 4:0.491636 5:0.176577 6:0.276992 7:0.089228 8:0.000000 9:1.327560 
+1 1:0.000000 2:0.000000 3:0.284531 4:0.241755 5:0.443451 6:0.392405 7:0.000000 8:0.180440 9:1.322690 
+1 1:0.206733 2:0.000000 3:0.370639 4:0.439885 5:0.118492 6:0.330446 7:0.079836 8:0.000000 9:1.179784 
+1 1:0.000000 2:0.078180 3:0.329457 4:0.119968 5:0.473970 6:0.330446 7:0.000000 8:0.208931 9:1.178144 
+1 1:0.212320 2:0.040146 3:0.380656 4:0.410703 5:0.283955 6:0.212111 7:0.000000 8:0.000000 9:1.304266 
+1 1:0.000000 2:0.038087 3:0.280883 4:0.233785 5:0.423332 6:0.362220 7:0.000000 8:0.203574 9:1.313088 
+1 1:0.049099 2:0.000000 3:0.440134 4:0.569851 5:0.046903 6:0.294304 7:0.142206 8:0.000000 9:1.328246 
+1 1:0.000000 2:0.139257 3:0.293423 4:0.047488 5:0.562840 6:0.441456 7:0.000000 8:0.049621 9:1.321606 
+1 1:0.241719 2:0.000000 3:0.240757 4:0.584462 5:0.057728 6:0.241480 7:0.175024 8:0.000000 9:1.180767 
+1 1:0.000000 2:0.171394 3:0.240757 4:0.058447 5:0.577271 6:0.241480 7:0.000000 8:0.244288 9:1.182255 
+1 1:0.098198 2:0.000000 3:0.537942 4:0.474876 5:0.140710 6:0.245253 7:0.047402 8:0.000000 9:1.250959 
+1 1:0.000000 2:0.046419 3:0.244519 4:0.142463 5:0.469034 6:0.539557 7:0.000000 8:0.099242 9:1.250959 
-1 1:0.328850 2:0.241811 3:0.145574 4:0.247378 5:0.279239 6:0.292023 7:0.000000 8:0.000000 9:1.067412 
-1 1:0.125694 2:0.534747 3:0.250387 4:0.182352 5:0.060036 6:0.188354 7:0.182024 8:0.000000 9:0.793926 
-1 1:0.458259 2:0.030946 3:0.293423 4:0.063317 5:0.062538 6:0.359705 7:0.158008 8:0.132322 9:1.000081 
-1 1:0.204936 2:0.000000 3:0.340200 4:0.396419 5:0.195771 6:0.136489 7:0.000000 8:0.276152 9:1.224847 
-1 1:0.055129 2:0.156359 3:0.164728 4:0.213278 5:0.289648 6:0.137686 7:0.079836 8:0.445720 9:0.955892 
-1 1:0.000000 2:0.110030 3:0.579600 4:0.112563 5:0.000000 6:0.232536 7:0.337081 8:0.176430 9:1.212767 
-1 1:0.215229 2:0.162785 3:0.214372 4:0.291431 5:0.226164 6:0.043003 7:0.103895 8:0.282772 9:1.018938 
-1 1:0.000000 2:0.051221 3:0.000000 4:0.157200 5:0.207022 6:0.108250 7:0.418446 8:0.602297 9:0.623586 
-1 1:0.165386 2:0.078180 3:0.247093 4:0.239938 5:0.078996 6:0.123917 7:0.239506 8:0.376075 9:0.897506 
-1 1:0.000000 2:0.000000 3:0.195615 4:0.000000 5:0.625379 6:0.196203 7:0.505622 8:0.000000 9:1.055028 
-1 1:0.238056 2:0.135037 3:0.213399 4:0.138146 5:0.318374 6:0.142693 7:0.114915 8:0.240587 9:0.877420 
-1 1:0.209489 2:0.198054 3:0.052164 4:0.557188 5:0.400242 6:0.000000 7:0.000000 8:0.105859 9:0.904174 
-1 1:0.181290 2:0.571311 3:0.361135 4:0.233785 5:0.000000 6:0.060371 7:0.000000 8:0.122144 9:1.098061 
-1 1:0.050683 2:0.335414 3:0.201925 4:0.343135 5:0.242081 6:0.354430 7:0.000000 8:0.000000 9:0.958507 
-1 1:0.241719 2:0.304699 3:0.160505 4:0.428605 5:0.000000 6:0.040247 7:0.194470 8:0.162859 9:1.347653 
-1 1:0.000000 2:0.185676 3:0.293423 4:0.094975 5:0.093807 6:0.196203 7:0.379217 8:0.297727 9:0.859740 
-1 1:0.294595 2:0.000000 3:0.000000 4:0.284925 5:0.281420 6:0.425105 7:0.063203 8:0.198484 9:0.915373 
-1 1:0.000000 2:0.000000 3:0.000000 4:0.189950 5:0.487795 6:0.117722 7:0.303373 8:0.436666 9:0.968153 
-1 1:0.054179 2:0.358547 3:0.269814 4:0.209600 5:0.258777 6:0.054125 7:0.104612 8:0.219017 9:0.881039 
-1 1:0.302149 2:0.000000 3:0.300947 4:0.467570 5:0.000000 6:0.241480 7:0.000000 8:0.244288 9:0.815406 
-1 1:0.261863 2:0.165045 3:0.043470 4:0.253268 5:0.416919 6:0.087202 7:0.084271 8:0.220538 9:0.830341 
-1 1:0.574820 2:0.108689 3:0.305351 4:0.000000 5:0.000000 6:0.000000 7:0.036996 8:0.542201 9:0.920019 
-1 1:0.332363 2:0.171394 3:0.090283 4:0.233785 5:0.144318 6:0.150925 7:0.145853 8:0.274825 9:0.948074 
-1 1:0.030808 2:0.058252 3:0.030685 4:0.178777 5:0.323725 6:0.092331 7:0.446138 8:0.373617 9:0.860520 
-1 1:0.314235 2:0.024757 3:0.000000 4:0.253268 5:0.150091 6:0.261604 7:0.227530 8:0.317575 9:0.815486 
-1 1:0.673359 2:0.141467 3:0.149040 4:0.072362 5:0.285887 6:0.224231 7:0.000000 8:0.000000 9:0.685542 
-1 1:0.203671 2:0.357599 3:0.347760 4:0.112563 5:0.194563 6:0.232536 7:0.000000 8:0.088216 9:1.039299 
-1 1:0.000000 2:0.193749 3:0.204121 4:0.066069 5:0.195771 6:0.545955 7:0.000000 8:0.345190 9:0.954151 
-1 1:0.241719 2:0.076175 3:0.000000 4:0.038964 5:0.307878 6:0.281726 7:0.116682 8:0.488576 9:0.797228 
-1 1:0.142834 2:0.405111 3:0.426796 4:0.483510 5:0.068224 6:0.000000 7:0.000000 8:0.000000 9:0.842436 
-1 1:0.157117 2:0.371352 3:0.156492 4:0.000000 5:0.150091 6:0.235443 7:0.303373 8:0.158788 9:0.914990 
-1 1:0.000000 2:0.000000 3:0.000000 4:0.260504 5:0.643245 6:0.000000 7:0.000000 8:0.635150 9:0.772150 
-1 1:0.219234 2:0.069089 3:0.072788 4:0.000000 5:0.279239 6:0.073006 7:0.352760 8:0.480056 9:0.812979 
-1 1:0.174575 2:0.000000 3:0.057960 4:0.225126 5:0.166767 6:0.232536 7:0.365172 8:0.323456 9:0.913943 
-1 1:0.367722 2:0.189627 3:0.133184 4:0.226324 5:0.255474 6:0.133584 7:0.032274 8:0.202708 9:0.672544 
-1 1:0.218219 2:0.000000 3:0.000000 4:0.126633 5:0.375227 6:0.218003 7:0.294946 8:0.308753 9:0.990710 
-1 1:0.125694 2:0.237666 3:0.187791 4:0.182352 5:0.000000 6:0.251139 7:0.303373 8:0.254060 9:0.919217 
-1 1:0.357085 2:0.303833 3:0.248965 4:0.310827 5:0.000000 6:0.000000 7:0.172371 8:0.144352 9:0.863186 
-1 1:0.224453 2:0.000000 3:0.159686 4:0.248098 5:0.245046 6:0.128133 7:0.216695 8:0.324057 9:0.880129 
-1 1:0.000000 2:0.356498 3:0.500775 4:0.000000 5:0.300181 6:0.251139 7:0.000000 8:0.127030 9:0.760271 
-1 1:0.322292 2:0.076175 3:0.200631 4:0.350677 5:0.076970 6:0.000000 7:0.272258 8:0.244288 9:0.917237 
-1 1:0.000000 2:0.102443 3:0.000000 4:0.524002 5:0.724576 6:0.162374 7:0.000000 8:0.000000 9:0.905684 
-1 1:0.034915 2:0.099028 3:0.139104 4:0.438996 5:0.200120 6:0.034880 7:0.168541 8:0.423434 9:0.835348 
-1 1:0.285667 2:0.180049 3:0.071134 4:0.184194 5:0.318374 6:0.118911 7:0.137897 8:0.240587 9:0.938790 
-1 1:0.188541 2:0.000000 3:0.000000 4:0.060784 5:0.660399 6:0.125570 7:0.000000 8:0.508120 9:0.665203 
-1 1:0.134672 2:0.212201 3:0.134136 4:0.043417 5:0.300181 6:0.583003 7:0.043338 8:0.090736 9:0.750084 
-1 1:0.512339 2:0.193749 3:0.102059 4:0.363383 5:0.130514 6:0.000000 7:0.000000 8:0.241633 9:0.637358 
-1 1:0.179563 2:0.084881 3:0.223560 4:0.477590 5:0.128649 6:0.044846 7:0.303373 8:0.090736 9:0.664531 
-1 1:0.000000 2:0.112107 3:0.236214 4:0.630778 5:0.481424 6:0.000000 7:0.057241 8:0.000000 9:1.183021 
-1 1:0.483437 2:0.114262 3:0.000000 4:0.000000 5:0.000000 6:0.120740 7:0.233364 8:0.610721 9:0.843418 
-1 1:0.074818 2:0.047156 3:0.173880 4:0.361810 5:0.238239 6:0.274060 7:0.144463 8:0.226839 9:0.837060 
-1 1:0.179563 2:0.212201 3:0.536544 4:0.173669 5:0.085766 6:0.089693 7:0.173357 8:0.090736 9:0.977423 
-1 1:0.000000 2:0.035368 3:0.223560 4:0.868345 5:0.214415 6:0.000000 7:0.036117 8:0.151226 9:1.106059 
-1 1:0.379248 2:0.051221 3:0.377739 4:0.052400 5:0.103512 6:0.270625 7:0.000000 8:0.328527 9:0.806064 
-1 1:0.152049 2:0.047916 3:0.454333 4:0.441176 5:0.048416 6:0.253164 7:0.097862 8:0.051222 9:1.111904 
